Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
6990650,MCV2,COUNTRY,BRB,AMR,YEAR,Americas,,2008,,,,,,,,97,97.0,,,,2024-07-12T15:36:37.797+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
8953367,MCV2,COUNTRY,PLW,WPR,YEAR,Western Pacific,,2007,,,,,,,,83,83.0,,,,2024-07-12T15:36:37.797+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
9160286,MCV2,COUNTRY,IDN,SEAR,YEAR,South-East Asia,,2019,,,,,,,,71,71.0,,,,2024-07-12T15:36:37.797+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
4174003,MCV2,COUNTRY,AUT,EUR,YEAR,Europe,,2016,,,,,,,,89,89.0,,,,2024-07-12T15:36:37.797+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
781399,MCV2,COUNTRY,DEU,EUR,YEAR,Europe,,2019,,,,,,,,93,93.0,,,,2024-07-12T15:36:37.797+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
9414069,MCV2,COUNTRY,SEN,AFR,YEAR,Africa,,2021,,,,,,,,64,64.0,,,,2024-07-12T15:36:37.797+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
4341035,MCV2,COUNTRY,STP,AFR,YEAR,Africa,,2017,,,,,,,,76,76.0,,,,2024-07-12T15:36:37.797+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
6209738,MCV2,COUNTRY,NOR,EUR,YEAR,Europe,,2013,,,,,,,,91,91.0,,,,2024-07-12T15:36:37.797+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
8038851,MCV2,COUNTRY,NIC,AMR,YEAR,Americas,,2021,,,,,,,,83,83.0,,,,2024-07-12T15:36:37.797+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
4915064,MCV2,COUNTRY,PAN,AMR,YEAR,Americas,,2000,,,,,,,,88,88.0,,,,2024-07-12T15:36:37.797+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
8506091,MCV2,COUNTRY,GRC,EUR,YEAR,Europe,,2020,,,,,,,,83,83.0,,,,2024-07-12T15:36:37.797+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
5141326,MCV2,COUNTRY,ALB,EUR,YEAR,Europe,,2018,,,,,,,,96,96.0,,,,2024-07-12T15:36:37.797+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
3632928,MCV2,COUNTRY,SYR,EMR,YEAR,Eastern Mediterranean,,2021,,,,,,,,64,64.0,,,,2024-07-12T15:36:37.797+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
1983255,MCV2,COUNTRY,GIN,AFR,YEAR,Africa,,2023,,,,,,,,26,26.0,,,,2024-07-12T15:36:37.797+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
7250937,MCV2,COUNTRY,COK,WPR,YEAR,Western Pacific,,2019,,,,,,,,98,98.0,,,,2024-07-12T15:36:37.797+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
2270471,MCV2,COUNTRY,BTN,SEAR,YEAR,South-East Asia,,2011,,,,,,,,95,95.0,,,,2024-07-12T15:36:37.797+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
4013899,MCV2,COUNTRY,BEL,EUR,YEAR,Europe,,2021,,,,,,,,83,83.0,,,,2024-07-12T15:36:37.797+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
5755485,MCV2,COUNTRY,COL,AMR,YEAR,Americas,,2019,,,,,,,,89,89.0,,,,2024-07-12T15:36:37.797+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
5775540,MCV2,COUNTRY,FIN,EUR,YEAR,Europe,,2023,,,,,,,,92,92.0,,,,2024-07-12T15:36:37.797+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
794761,MCV2,COUNTRY,RUS,EUR,YEAR,Europe,,2011,,,,,,,,97,97.0,,,,2024-07-12T15:36:37.797+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
9643582,MCV2,COUNTRY,ARG,AMR,YEAR,Americas,,2003,,,,,,,,80,80.0,,,,2024-07-12T15:36:37.797+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
4467810,MCV2,COUNTRY,PRT,EUR,YEAR,Europe,,2002,,,,,,,,64,64.0,,,,2024-07-12T15:36:37.797+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
4501253,MCV2,COUNTRY,IRQ,EMR,YEAR,Eastern Mediterranean,,2012,,,,,,,,68,68.0,,,,2024-07-12T15:36:37.797+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4507930,MCV2,COUNTRY,POL,EUR,YEAR,Europe,,2002,,,,,,,,97,97.0,,,,2024-07-12T15:36:37.797+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
3078587,MCV2,COUNTRY,TUR,EUR,YEAR,Europe,,2013,,,,,,,,98,98.0,,,,2024-07-12T15:36:37.797+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
5321513,MCV2,COUNTRY,ALB,EUR,YEAR,Europe,,2023,,,,,,,,93,93.0,,,,2024-07-12T15:36:37.797+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
